VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-01-01 00:33:04,2019-01-01 00:45:12,1,1.45,99,N,164,230,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,
2,2019-01-01 00:18:50,2019-01-01 00:28:25,2,1.71,99,N,107,113,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,
2,2019-01-01 01:59:52,2019-01-01 02:19:38,2,3.12,99,N,186,224,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,
2,2019-01-01 03:50:40,2019-01-01 04:09:48,3,2.43,99,N,224,4,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,
2,2019-01-01 10:15:03,2019-01-01 10:34:20,1,2.57,99,N,170,162,2,14.0,0.0,0.5,0.0,0.0,0.3,14.8,
2,2019-01-01 15:45:43,2019-01-01 15:54:36,2,1.74,99,N,142,68,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8,
4,2019-01-02 12:36:51,2019-01-02 12:43:52,1,1.09,99,N,236,236,1,6.67,0.0,0.0,2.33,0.0,0.0,14.0,
4,2019-01-02 12:52:50,2019-01-02 12:56:32,1,0.36,99,N,140,237,2,4.67,0.0,0.0,0.0,0.0,0.0,9.67,
4,2019-01-02 13:58:09,2019-01-02 14:07:44,1,1.52,99,N,79,90,1,8.67,0.0,0.0,0.0,0.0,0.0,13.67,
2,2019-01-02 13:10:19,2019-01-02 13:13:59,1,0.47,99,N,230,186,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3,
4,2019-01-02 14:35:59,2019-01-02 14:59:04,1,6.91,99,N,100,13,2,24.17,0.0,0.0,0.0,0.0,0.0,29.17,
4,2019-01-02 15:40:12,2019-01-02 15:51:06,1,1.3,99,N,170,161,2,8.67,0.0,0.0,0.0,0.0,0.0,13.67,
2,2019-01-02 17:49:43,2019-01-02 17:59:58,2,1.35,99,N,43,142,2,8.5,1.0,0.5,0.0,0.0,0.3,10.3,
2,2019-01-03 08:35:59,2019-01-03 08:48:40,1,0.0,99,N,263,263,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,
2,2019-01-03 21:06:02,2019-01-03 21:06:06,1,0.0,99,N,231,231,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,
2,2019-01-04 09:13:51,2019-01-04 09:18:19,1,0.0,99,N,207,207,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,
2,2019-01-04 09:20:44,2019-01-04 09:23:54,1,0.0,99,N,207,207,2,2.5,0.8,0.5,0.0,0.0,0.0,3.8,
2,2019-01-04 15:04:44,2019-01-04 15:05:41,2,0.12,99,N,230,230,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,
2,2019-01-04 18:04:58,2019-01-04 18:12:01,1,1.5,99,N,236,236,2,7.5,1.0,0.5,0.0,0.0,0.3,9.3,
2,2019-01-05 01:57:16,2019-01-05 02:05:06,1,1.54,99,N,79,137,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,
2,2019-01-05 06:59:55,2019-01-05 07:05:24,1,0.99,99,N,237,140,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8,
2,2019-01-05 14:08:02,2019-01-05 14:08:06,1,0.0,99,N,161,161,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,
2,2019-01-05 16:36:15,2019-01-05 16:43:03,2,1.05,99,N,163,230,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3,
2,2019-01-06 00:08:42,2019-01-06 00:14:24,2,0.73,99,N,79,79,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,
2,2019-01-06 18:05:07,2019-01-06 18:11:19,1,0.86,99,N,234,164,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3,
2,2019-01-08 07:57:30,2019-01-08 08:10:49,1,1.89,99,N,43,229,2,9.0,0.8,0.5,2.94,0.0,0.0,13.24,
2,2019-01-08 08:33:07,2019-01-08 08:36:36,1,0.55,99,N,4,79,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3,
2,2019-01-08 10:15:37,2019-01-08 10:30:13,1,2.46,99,N,142,263,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3,
