VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2018-12-21 13:48:30,2018-12-21 13:52:40,3,0.0,1,N,236,236,1,4.5,0.5,0.5,0.0,0.0,0.3,5.8,
2,2018-11-28 15:52:25,2018-11-28 15:55:45,5,0.0,1,N,193,193,2,3.5,0.5,0.5,0.0,0.0,0.3,7.55,
2,2018-11-28 15:56:57,2018-11-28 15:58:33,5,0.0,2,N,193,193,2,52.0,0.0,0.5,0.0,0.0,0.3,55.55,
2,2018-11-28 16:25:49,2018-11-28 16:28:26,5,0.0,1,N,193,193,2,3.5,0.5,0.5,0.0,5.76,0.3,13.31,
2,2018-11-28 16:29:37,2018-11-28 16:33:43,5,0.0,2,N,193,193,2,52.0,0.0,0.5,0.0,0.0,0.3,55.55,
2,2018-12-31 17:22:55,2019-01-01 16:57:23,1,22.59,1,N,132,181,1,60.0,0.5,0.5,7.0,0.0,0.3,68.3,
2,2018-12-31 23:47:46,2018-12-31 23:53:24,1,1.06,1,N,141,229,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,
2,2018-12-31 23:56:19,2019-01-01 00:53:44,2,19.3,1,N,48,265,2,61.0,0.5,0.5,0.0,5.76,0.3,68.06,
2,2018-12-31 23:56:54,2019-01-01 00:01:55,1,0.64,1,N,170,170,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,
2,2018-12-31 23:56:57,2019-01-01 00:30:30,1,6.1,1,N,239,158,1,25.0,0.5,0.5,5.26,0.0,0.3,31.56,
2,2018-12-31 23:58:36,2019-01-01 00:04:18,1,0.54,1,N,229,229,1,5.5,0.5,0.5,2.04,0.0,0.3,8.84,
2,2018-12-31 23:57:09,2019-01-01 00:30:26,1,4.6,1,N,48,261,1,22.0,0.5,0.5,0.0,0.0,0.3,23.3,
2,2018-12-31 23:56:51,2019-01-01 00:07:25,4,3.47,1,N,161,151,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96,
2,2018-12-31 23:59:47,2019-01-01 00:13:02,1,4.46,1,N,65,79,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3,
